id,edtf_string,precision,earliest,latest,display_string
wba_date_01HREAL001,2018-06-27,day,2018-06-27,2018-06-27,27 June 2018
wba_date_01HREAL002,2023-08-04,day,2023-08-04,2023-08-04,4 August 2023
wba_date_01HREAL003,2018-03-28,day,2018-03-28,2018-03-28,28 March 2018
wba_date_01HREAL004,2018-07-23,day,2018-07-23,2018-07-23,23 July 2018
wba_date_01HREAL005,2023,year,2023-01-01,2023-12-31,2023
wba_date_01HREAL006,2022-05-14,day,2022-05-14,2022-05-14,14 May 2022
wba_date_01HREAL007,2017-05-31,day,2017-05-31,2017-05-31,31 May 2017
wba_date_01HREAL008,2018,year,2018-01-01,2018-12-31,2018
wba_date_01HREAL009,2015-09-20,day,2015-09-20,2015-09-20,20 September 2015
wba_date_01HREAL010,2015-02,month,2015-02-01,2015-02-28,February 2015
wba_date_01HREAL011,2016-10-05,day,2016-10-05,2016-10-05,5 October 2016
wba_date_01HREAL012,2025-09-09,day,2025-09-09,2025-09-09,9 September 2025
wba_date_01HREAL013,2026-09-11,day,2026-09-11,2026-09-11,11 September 2026
wba_date_01HREAL014,2014,year,2014-01-01,2014-12-31,2014
wba_date_01HREAL015,2018-09-28,day,2018-09-28,2018-09-28,28 September 2018
wba_date_01HREAL016,2022-05-27,day,2022-05-27,2022-05-27,27 May 2022
wba_date_01HREAL017,2023-10-26,day,2023-10-26,2023-10-26,26 October 2023
wba_date_01HREAL018,2013,year,2013-01-01,2013-12-31,2013
wba_date_01HREAL019,2016-11-19,day,2016-11-19,2016-11-19,19 November 2016
wba_date_01HREAL020,2019,year,2019-01-01,2019-12-31,2019
wba_date_01HREAL021,2013-04-11,day,2013-04-11,2013-04-11,11 April 2013
wba_date_01HREAL022,2021-05-20,day,2021-05-20,2021-05-20,20 May 2021
wba_date_01HREAL023,2015-07-16,day,2015-07-16,2015-07-16,16 July 2015
wba_date_01HREAL024,2016-07-20,day,2016-07-20,2016-07-20,20 July 2016
wba_date_01HREAL025,2014-08,month,2014-08-01,2014-08-31,August 2014
wba_date_01HREAL026,2014-10-12,day,2014-10-12,2014-10-12,12 October 2014
wba_date_01HREAL027,2020-09,month,2020-09-01,2020-09-30,September 2020
wba_date_01HREAL028,2021-05-10,day,2021-05-10,2021-05-10,10 May 2021
