id,canonical_name,org_type,notes
wba_org_01HREAL001,Sinohydro Corporation,soe,"China, subsidiary of PowerChina"
wba_org_01HREAL002,PowerChina,soe,Parent of Sinohydro
wba_org_01HREAL003,Export-Import Bank of China,export_credit,"Policy bank, China"
wba_org_01HREAL004,Zimbabwe Power Company,state_agency,"State-owned utility, owner of Hwange/Kariba"
wba_org_01HREAL005,China Jiangsu International Economic and Technical Cooperation Group,soe,"CJI, China"
wba_org_01HREAL006,Airports Company of Zimbabwe,state_agency,Owner of RGM Airport
wba_org_01HREAL007,China Road and Bridge Corporation,soe,"CRBC, subsidiary of CCCC"
wba_org_01HREAL008,China Communications Construction Company,soe,"CCCC, parent of CRBC"
wba_org_01HREAL009,Moja Expressway Company,private,"SPV for Nairobi Expressway, Kenya"
wba_org_01HREAL010,Kenya National Highways Authority,state_agency,"KeNHA, conceding authority"
wba_org_01HREAL011,Afristar Railway Operation Company,private,"Operator of SGR, subsidiary of CCCC"
wba_org_01HREAL012,Vestas Wind Systems,private,"Denmark, turbine supplier"
wba_org_01HREAL013,Lake Turkana Wind Power Ltd,private,"Project company, Kenya"
wba_org_01HREAL014,China Railway Group,soe,CREC
wba_org_01HREAL015,China Railway Eryuan Engineering Group,soe,"CREEC, designer"
wba_org_01HREAL016,Shenzhen Metro Group,soe,"Operator, Addis Light Rail"
wba_org_01HREAL017,Addis Ababa Light Rail Transit Service,state_agency,"Operator entity, Ethiopia"
wba_org_01HREAL018,Ethiopian Railways Corporation,state_agency,"ERC, owner Addis Light Rail & Ethio-Djibouti"
wba_org_01HREAL019,China Civil Engineering Construction Corporation,soe,CCECC
wba_org_01HREAL020,Webuild S.p.A.,private,"Italy, formerly Salini Impregilo"
wba_org_01HREAL021,Ethiopian Electric Power,state_agency,"EEP, owner of GERD"
