project_id,admin1,admin2,city,locality,precision,lat,lon
wba_prj_01HREAL001,Matabeleland North,Hwange,Hwange,Hwange Power Station,exact,-18.383,26.48
wba_prj_01HREAL002,Matabeleland North,Kariba,Kariba,Kariba South,exact,-16.521,28.761
wba_prj_01HREAL003,Harare,Harare,Harare,RGM International Airport,approximate,-17.931,31.092
wba_prj_01HREAL004,Nairobi,Nairobi,Nairobi,JKIA–James Gichuru corridor,corridor,,
wba_prj_01HREAL005,Mombasa,Mombasa,Mombasa,Mombasa–Nairobi corridor,corridor,,
wba_prj_01HREAL006,Marsabit,Loiyangalani,Loiyangalani,Lake Turkana,exact,2.85,36.82
wba_prj_01HREAL007,Addis Ababa,Addis Ababa,Addis Ababa,Addis Light Rail corridor,corridor,,
wba_prj_01HREAL008,Addis Ababa,Addis Ababa,Addis Ababa,Addis–Djibouti corridor,corridor,,
wba_prj_01HREAL009,Benishangul-Gumuz,,,GERD site,exact,11.22,35.09
wba_prj_01HREAL010,Harare,Harare,Mount Hampden,New Parliament site,exact,-17.689,30.943
wba_prj_01HREAL011,Matabeleland North,Hwange,Victoria Falls,Victoria Falls Airport,exact,-18.096,25.839
wba_prj_01HREAL012,Machakos,Athi River,Konza,Konza Technopolis,approximate,-1.057,37.095
wba_prj_01HREAL013,Lamu,Lamu,Lamu,Lamu Port,exact,-2.416,40.910
wba_prj_01HREAL014,Sidama,Hawassa,Hawassa,Hawassa Park,exact,7.060,38.476
wba_prj_01HREAL015,Southern,Chobe,Kazungula,Kazungula Bridge site,exact,-17.775,25.262
wba_prj_01HREAL016,Matabeleland South,Beitbridge,Beitbridge,Beitbridge Border,exact,-22.217,29.987
wba_prj_01HREAL017,Harare,Harare,Harare,TelOne data centres,approximate,-17.829,31.053
wba_prj_01HREAL018,Kitui/Makueni,Kitui,Thwake,Thwake Dam site,exact,-1.789,37.738
wba_prj_01HREAL019,Coast,Mombasa,Mombasa,Mombasa Port Berths 20-21,exact,-4.054,39.636
wba_prj_01HREAL020,Oromia,Adama,Adama,Adama Wind site,exact,8.458,39.250
wba_prj_01HREAL021,Addis Ababa,Bole,Addis Ababa,Bole Airport,exact,8.978,38.797
wba_prj_01HREAL022,Southern,Kafue,Kafue Gorge,Kafue Lower site,exact,-15.803,28.424
wba_prj_01HREAL023,Morogoro,Ulanga,Nyerere,Rufiji River dam,exact,-7.809,37.861
wba_prj_01HREAL024,Maputo,Maputo,Maputo,Maputo Bay Bridge,exact,-25.973,32.572
wba_prj_01HREAL025,Eastern,Bugesera,Bugesera,Bugesera Airport site,exact,-2.130,30.181
wba_prj_01HREAL026,Dakar,Dakar,Dakar,Dakar TER corridor,corridor,,
wba_prj_01HREAL027,Bono,Bui,Bui,Bui Dam site,exact,8.278,-2.121
wba_prj_01HREAL028,Cuanza Norte,Cazengo,Cacuso,Lauca site,exact,-9.743,15.121
wba_prj_01HREAL029,Central,Wakiso,Kajjansi,Kampala-Entebbe corridor,corridor,,
wba_prj_01HREAL030,Central,Lilongwe,Lilongwe,Malawi fibre backbone,exact,-13.962,33.787
