iso3,name_en,name_fr,name_pt,region
ZWE,Zimbabwe,Zimbabwe,Zimbabué,Southern Africa
KEN,Kenya,Kenya,Quénia,Eastern Africa
ETH,Ethiopia,Éthiopie,Etiópia,Eastern Africa
BWA,Botswana,Botswana,Botsuana,Southern Africa
ZMB,Zambia,Zambie,Zambia,Southern Africa
SEN,Senegal,Senegal,Senegal,Western Africa
GHA,Ghana,Ghana,Gana,Western Africa
AGO,Angola,Angola,Angola,Central Africa
UGA,Uganda,Ouganda,Uganda,Eastern Africa
MWI,Malawi,Malawi,Malawi,Southern Africa
MOZ,Mozambique,Mozambique,Mocambique,Southern Africa
RWA,Rwanda,Rwanda,Ruanda,Eastern Africa
TZA,Tanzania,Tanzanie,Tanzania,Eastern Africa
MAR,Morocco,Maroc,Marrocos,Northern Africa
NAM,Namibia,Namibie,Namibia,Southern Africa
CMR,Cameroon,Cameroun,Camaroes,Central Africa
ZAF,South Africa,Afrique du Sud,Africa do Sul,Southern Africa
COD,Democratic Republic of Congo,Republique Democratique du Congo,Republica Democratica do Congo,Central Africa
EGY,Egypt,Egypte,Egito,Northern Africa
BFA,Burkina Faso,Burkina Faso,Burkina Faso,Western Africa
