id,org_id,alias,lang,is_transliteration
wba_als_01HREAL001,wba_org_01HREAL001,Sinohydro,en,false
wba_als_01HREAL002,wba_org_01HREAL007,CRBC,en,false
wba_als_01HREAL003,wba_org_01HREAL014,CREC,en,false
wba_als_01HREAL004,wba_org_01HREAL020,Salini Impregilo,en,false
wba_als_01HREAL005,wba_org_01HREAL022,SCG,en,false
wba_als_01HREAL006,wba_org_01HREAL025,Daewoo E&C,en,false
wba_als_01HREAL007,wba_org_01HREAL037,CGGC,en,false
wba_als_01HREAL008,wba_org_01HREAL039,Toyo,en,false
wba_als_01HREAL009,wba_org_01HREAL047,Arab Contractors,en,false
wba_als_01HREAL010,wba_org_01HREAL057,Odebrecht,en,false
wba_als_01HREAL011,wba_org_01HREAL020,Salini Impregilo,en,false
wba_als_01HREAL012,wba_org_01HREAL054,Yapi Merkezi Insaat,en,false
wba_als_01HREAL013,wba_org_01HREAL099,TPE,en,false
wba_als_01HREAL014,wba_org_01HREAL103,Impregilo,en,false
